breed_name,group,collection_priority,estimated_images_needed,collection_status
Brittany,AKC_Sporting,high,500,pending
Pointer,AKC_Sporting,high,500,pending
German Shorthaired Pointer,AKC_Sporting,high,500,pending
German Wirehaired Pointer,AKC_Sporting,high,500,pending
Chesapeake Bay Retriever,AKC_Sporting,high,500,pending
Curly-Coated Retriever,AKC_Sporting,high,500,pending
Flat-Coated Retriever,AKC_Sporting,high,500,pending
Golden Retriever,AKC_Sporting,high,500,pending
Labrador Retriever,AKC_Sporting,high,500,pending
Nova Scotia Duck Tolling Retriever,AKC_Sporting,high,500,pending
English Setter,AKC_Sporting,high,500,pending
Gordon Setter,AKC_Sporting,high,500,pending
Irish Red and White Setter,AKC_Sporting,high,500,pending
Irish Setter,AKC_Sporting,high,500,pending
American Water Spaniel,AKC_Sporting,high,500,pending
Boykin Spaniel,AKC_Sporting,high,500,pending
Clumber Spaniel,AKC_Sporting,high,500,pending
Cocker Spaniel,AKC_Sporting,high,500,pending
English Cocker Spaniel,AKC_Sporting,high,500,pending
English Springer Spaniel,AKC_Sporting,high,500,pending
Field Spaniel,AKC_Sporting,high,500,pending
Irish Water Spaniel,AKC_Sporting,high,500,pending
Sussex Spaniel,AKC_Sporting,high,500,pending
Welsh Springer Spaniel,AKC_Sporting,high,500,pending
Lagotto Romagnolo,AKC_Sporting,high,500,pending
Spinone Italiano,AKC_Sporting,high,500,pending
Vizsla,AKC_Sporting,high,500,pending
Weimaraner,AKC_Sporting,high,500,pending
Wirehaired Pointing Griffon,AKC_Sporting,high,500,pending
Afghan Hound,AKC_Hound,high,500,pending
American English Coonhound,AKC_Hound,high,500,pending
American Foxhound,AKC_Hound,high,500,pending
Basenji,AKC_Hound,high,500,pending
Basset Hound,AKC_Hound,high,500,pending
Beagle,AKC_Hound,high,500,pending
Black and Tan Coonhound,AKC_Hound,high,500,pending
Bloodhound,AKC_Hound,high,500,pending
Bluetick Coonhound,AKC_Hound,high,500,pending
Borzoi,AKC_Hound,high,500,pending
Cirneco dell'Etna,AKC_Hound,high,500,pending
Dachshund,AKC_Hound,high,500,pending
English Foxhound,AKC_Hound,high,500,pending
Greyhound,AKC_Hound,high,500,pending
Harrier,AKC_Hound,high,500,pending
Ibizan Hound,AKC_Hound,high,500,pending
Irish Wolfhound,AKC_Hound,high,500,pending
Norwegian Elkhound,AKC_Hound,high,500,pending
Otterhound,AKC_Hound,high,500,pending
Petit Basset Griffon Vendéen,AKC_Hound,high,500,pending
Pharaoh Hound,AKC_Hound,high,500,pending
Plott,AKC_Hound,high,500,pending
Portuguese Podengo Pequeno,AKC_Hound,high,500,pending
Redbone Coonhound,AKC_Hound,high,500,pending
Rhodesian Ridgeback,AKC_Hound,high,500,pending
Saluki,AKC_Hound,high,500,pending
Scottish Deerhound,AKC_Hound,high,500,pending
Treeing Walker Coonhound,AKC_Hound,high,500,pending
Whippet,AKC_Hound,high,500,pending
Akbash Dog,AKC_Working,high,500,pending
Alaskan Malamute,AKC_Working,high,500,pending
Anatolian Shepherd Dog,AKC_Working,high,500,pending
Bernese Mountain Dog,AKC_Working,high,500,pending
Black Russian Terrier,AKC_Working,high,500,pending
Boerboel,AKC_Working,high,500,pending
Boxer,AKC_Working,high,500,pending
Bullmastiff,AKC_Working,high,500,pending
Cane Corso,AKC_Working,high,500,pending
Doberman Pinscher,AKC_Working,high,500,pending
Dogue de Bordeaux,AKC_Working,high,500,pending
German Pinscher,AKC_Working,high,500,pending
Giant Schnauzer,AKC_Working,high,500,pending
Great Dane,AKC_Working,high,500,pending
Great Pyrenees,AKC_Working,high,500,pending
Greater Swiss Mountain Dog,AKC_Working,high,500,pending
Komondor,AKC_Working,high,500,pending
Kuvasz,AKC_Working,high,500,pending
Leonberger,AKC_Working,high,500,pending
Mastiff,AKC_Working,high,500,pending
Neapolitan Mastiff,AKC_Working,high,500,pending
Newfoundland,AKC_Working,high,500,pending
Portuguese Water Dog,AKC_Working,high,500,pending
Rottweiler,AKC_Working,high,500,pending
Saint Bernard,AKC_Working,high,500,pending
Samoyed,AKC_Working,high,500,pending
Siberian Husky,AKC_Working,high,500,pending
Standard Schnauzer,AKC_Working,high,500,pending
Tibetan Mastiff,AKC_Working,high,500,pending
Airedale Terrier,AKC_Terrier,high,500,pending
American Staffordshire Terrier,AKC_Terrier,high,500,pending
Australian Terrier,AKC_Terrier,high,500,pending
Bedlington Terrier,AKC_Terrier,high,500,pending
Border Terrier,AKC_Terrier,high,500,pending
Bull Terrier,AKC_Terrier,high,500,pending
Cairn Terrier,AKC_Terrier,high,500,pending
Cesky Terrier,AKC_Terrier,high,500,pending
Dandie Dinmont Terrier,AKC_Terrier,high,500,pending
Glen of Imaal Terrier,AKC_Terrier,high,500,pending
Irish Terrier,AKC_Terrier,high,500,pending
Kerry Blue Terrier,AKC_Terrier,high,500,pending
