breed_id,breed_name,group,registry,size,origin,min_photos_needed,photos_collected,photos_annotated,status,source_link,license_type,partner_source,collection_priority,last_updated,notes
BR_0000,Golden Retriever,Sporting,AKC,Large,Scotland,500,250,44,in_progress,,,,high,2025-06-30,
BR_0001,Labrador Retriever,Sporting,AKC,Large,Newfoundland,500,408,208,in_progress,,,,high,2025-06-30,
BR_0002,Pointer,Sporting,AKC,Large,England,500,597,167,complete,,,,high,2025-06-30,
BR_0003,English Setter,Sporting,AKC,Large,England,500,92,100,not_started,,,,high,2025-06-30,
BR_0004,Irish Setter,Sporting,AKC,Large,Ireland,500,216,73,in_progress,,,,high,2025-06-30,
BR_0005,German Shepherd,Herding,AKC,Large,Germany,500,144,278,in_progress,,,,high,2025-06-30,
BR_0006,Siberian Husky,Working,AKC,Large,Siberia,500,489,200,in_progress,,,,high,2025-06-30,
BR_0007,Rottweiler,Working,AKC,Large,Germany,500,407,38,in_progress,,,,high,2025-06-30,
BR_0008,Doberman Pinscher,Working,AKC,Large,Germany,500,174,9,in_progress,,,,high,2025-06-30,
BR_0009,Great Dane,Working,AKC,Giant,Germany,500,25,117,not_started,,,,high,2025-06-30,
BR_0010,Beagle,Hound,AKC,Medium,England,500,433,22,in_progress,,,,medium,2025-06-30,
BR_0011,Bloodhound,Hound,AKC,Large,Belgium,500,79,3,not_started,,,,medium,2025-06-30,
BR_0012,Greyhound,Hound,AKC,Large,Ancient,500,452,246,in_progress,,,,medium,2025-06-30,
BR_0013,Basset Hound,Hound,AKC,Medium,France,500,445,4,in_progress,,,,medium,2025-06-30,
BR_0014,Chihuahua,Toy,AKC,Toy,Mexico,500,581,120,complete,,,,medium,2025-06-30,
BR_0015,Pug,Toy,AKC,Small,China,500,523,291,complete,,,,medium,2025-06-30,
BR_0016,Yorkshire Terrier,Toy,AKC,Toy,England,500,578,150,complete,,,,medium,2025-06-30,
BR_0017,French Bulldog,Non-Sporting,AKC,Small,France,500,238,0,in_progress,,,,medium,2025-06-30,
BR_0018,Poodle,Non-Sporting,AKC,Large,Germany,500,573,154,complete,,,,medium,2025-06-30,
BR_0019,Boston Terrier,Non-Sporting,AKC,Small,USA,500,94,163,not_started,,,,medium,2025-06-30,
BR_0020,Border Collie,Herding,AKC,Medium,Scotland,500,19,182,not_started,,,,high,2025-06-30,
BR_0021,Australian Shepherd,Herding,AKC,Medium,USA,500,388,8,in_progress,,,,high,2025-06-30,
BR_0022,Lagotto Romagnolo,Sporting,FCI,Medium,Italy,500,60,272,not_started,,,,high,2025-06-30,
BR_0023,Xolo (Mexican Hairless),Non-Sporting,FCI,Medium,Mexico,500,284,115,in_progress,,,,medium,2025-06-30,
BR_0024,Norwegian Lundehund,Hound,FCI,Small,Norway,500,252,89,in_progress,,,,medium,2025-06-30,
BR_0025,Telomian,Primitive,Rare,Medium,Malaysia,500,375,141,in_progress,,,,low,2025-06-30,
BR_0026,Carolina Dog,Primitive,UKC,Medium,USA,500,466,290,in_progress,,,,medium,2025-06-30,
BR_0027,Golden Retriever Variant 27,Sporting,AKC,Large,Scotland,500,585,206,complete,,,,high,2025-06-30,
BR_0028,Labrador Retriever Variant 28,Sporting,AKC,Large,Newfoundland,500,429,201,in_progress,,,,high,2025-06-30,
BR_0029,Pointer Variant 29,Sporting,AKC,Large,England,500,512,191,complete,,,,high,2025-06-30,
BR_0030,English Setter Variant 30,Sporting,AKC,Large,England,500,55,283,not_started,,,,high,2025-06-30,
BR_0031,Irish Setter Variant 31,Sporting,AKC,Large,Ireland,500,211,233,in_progress,,,,high,2025-06-30,
BR_0032,German Shepherd Variant 32,Herding,AKC,Large,Germany,500,271,66,in_progress,,,,high,2025-06-30,
BR_0033,Siberian Husky Variant 33,Working,AKC,Large,Siberia,500,181,186,in_progress,,,,high,2025-06-30,
BR_0034,Rottweiler Variant 34,Working,AKC,Large,Germany,500,174,175,in_progress,,,,high,2025-06-30,
BR_0035,Doberman Pinscher Variant 35,Working,AKC,Large,Germany,500,355,276,in_progress,,,,high,2025-06-30,
BR_0036,Great Dane Variant 36,Working,AKC,Giant,Germany,500,361,111,in_progress,,,,high,2025-06-30,
BR_0037,Beagle Variant 37,Hound,AKC,Medium,England,500,506,271,complete,,,,medium,2025-06-30,
BR_0038,Bloodhound Variant 38,Hound,AKC,Large,Belgium,500,572,267,complete,,,,medium,2025-06-30,
BR_0039,Greyhound Variant 39,Hound,AKC,Large,Ancient,500,454,11,in_progress,,,,medium,2025-06-30,
BR_0040,Basset Hound Variant 40,Hound,AKC,Medium,France,500,181,99,in_progress,,,,medium,2025-06-30,
BR_0041,Chihuahua Variant 41,Toy,AKC,Toy,Mexico,500,409,139,in_progress,,,,medium,2025-06-30,
BR_0042,Pug Variant 42,Toy,AKC,Small,China,500,111,193,in_progress,,,,medium,2025-06-30,
BR_0043,Yorkshire Terrier Variant 43,Toy,AKC,Toy,England,500,131,286,in_progress,,,,medium,2025-06-30,
BR_0044,French Bulldog Variant 44,Non-Sporting,AKC,Small,France,500,89,186,not_started,,,,medium,2025-06-30,
BR_0045,Poodle Variant 45,Non-Sporting,AKC,Large,Germany,500,389,79,in_progress,,,,medium,2025-06-30,
BR_0046,Boston Terrier Variant 46,Non-Sporting,AKC,Small,USA,500,171,240,in_progress,,,,medium,2025-06-30,
BR_0047,Border Collie Variant 47,Herding,AKC,Medium,Scotland,500,118,203,in_progress,,,,high,2025-06-30,
BR_0048,Australian Shepherd Variant 48,Herding,AKC,Medium,USA,500,349,98,in_progress,,,,high,2025-06-30,
BR_0049,Lagotto Romagnolo Variant 49,Sporting,FCI,Medium,Italy,500,446,283,in_progress,,,,high,2025-06-30,
